paperId,url,title,abstract,year,venue,pdf_url,citex,n
added_ref_002,,Intergenerational Earnings Mobility in Mexico,,2021,Quantitative Social Science Working Paper,,"@techreport{daza2021intergenerational,
  title={Intergenerational earnings mobility in Mexico},
  author={Daza B{\'a}ez, Nancy},
  year={2021},
  institution={Quantitative Social Science-UCL Social Research Institute}
}",
added_ref_003,,Intergenerational mobility along the income distribution: estimates using administrative data for a developing country,,2022,"INSTITUTO DE ECONOMIA Mayo, Serie Documentos de Trabajo",,"@article{leites2022intergenerational,
  title={Intergenerational mobility along the income distribution: estimates using administrative data for a developing country},
  author={Leites, Mart{\'\i}n and Ramos, Xavier and Rodr{\'\i}guez, Cecilia and Vil{\'a}, Joan},
  journal={Serie Documentos de Trabajo; 05/22},
  year={2022},
  publisher={Udelar. FCEA. Iecon}
}",
added_ref_004,,Intergenerational Mobility in Ecuador: A First Approach,,2024,INEC Working Paper,,"@article{delpozo2024intergenerational,
  title={Intergenerational Mobility in Ecuador: A First Approach},
  author={Del Pozo, Diego and Moreno, Lorena},
  journal={INEC Working Papers},
  year={2024}}",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
