country,estimator,paperId,pdf_title,estimate,source,overall_average,n_estimate_overall,estimate_expanded,n_estimate_expanded,estimate_selected,n_estimate_selected,estimate_restricted,n_estimate_restricted
Romania,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.562933564,Online data,0.562933564,1,0.562933564,1,0.562933564,1,0.562933564,1
Russia,IGE,51a26f92df8d68d4de3ad8507001890be10d272e,Intergenerational Earnings Mobility in Post-Soviet Russia,0.3013,Table A5,0.299423289181818,11,0.29615,10,0.29615,10,0.3013,1
Russia,IRA,51a26f92df8d68d4de3ad8507001890be10d272e,Intergenerational Earnings Mobility in Post-Soviet Russia,0.3573,Table A7,0.354971428571429,7,0.354971428571429,7,0.35682,5,0.35682,5
Singapore,IGE,990a506c05127fe7a143b03b0d3b34b383a5557b,Intergenerational Earnings Mobility in Singapore and the United States,0.23,Table 2,0.255,2,0.255,2,0.23,1,0.23,1
Slovakia,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.455025584,Online data,0.455025584,1,0.455025584,1,0.455025584,1,0.455025584,1
Slovenia,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.249457464,Online data,0.249457464,1,0.249457464,1,0.249457464,1,0.249457464,1
South Africa,IGE,0a7ca7587dec4da51b6b0bb9ba11cb21c4e149bb,Estimating intergenerational income mobility on sub-optimal data: a machine learning approach,0.452,Table 2,0.677795273326531,49,0.659188971095238,21,0.653774265888889,9,0.633,4
South Korea,IGE,4de0e90e10e6fe8023385815ab3295f6a5b1b85c,Intergenerational income mobility and inequality in South Korea,0.215,Table A1,0.224853658536585,82,0.224853658536585,82,0.216,22,0.222833333333333,6
South Korea,IRA,444957592c5bb2a93a51884db6d92d9279c56647,Comparison of intergenerational income mobility in South Korea and the United States: Period changes between 1980?1995 and 1996?2015,0.07,Table 7,0.115,2,0.115,2,0.07,1,0.07,1
Spain,IGE,7033e5c5b49cf5e265b35a9dc836a9c286679327,Intergenerational earnings and income mobility in Spain,0.46,Table 4,0.382868998933333,30,0.456821362181818,22,0.459504373,16,0.463333333333333,3
Spain,IRA,87b218cf32599f9cce283b58ac2061b61c4f8457,"Intergenerational Mobility, Gender Differences and the role of Out-Migration: new evidence from Spain",0.195,Table A3,0.2536875,16,0.2536875,16,0.260333333333333,12,0.195,1
Sweden,IGE,2166d32b530938ff70786b755e7e9843604081f0,Intergenerational mobility in Sweden: a regional perspective,0.298,Table 2,0.188549767333333,60,0.188549767333333,60,0.181388888888889,9,0.298,1
Sweden,IRA,2166d32b530938ff70786b755e7e9843604081f0,Intergenerational mobility in Sweden: a regional perspective,0.197,Table 2,0.18746052631579,114,0.18746052631579,114,0.157541666666667,12,0.197,1
