country,code,region,region_noHICgroup,incgroup2,incgroup3,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,MLD_psu,CAT,YOS,DIF,MIX,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,CAT_ISCED5678,COR,CORstd,BETA,BETAstd,MU050_randomtiebreak,MU050_lb,MU050_ub,Q4Q4_randomtiebreak,Q4Q4_lb,Q4Q4_ub,BHQ1_randomtiebreak,BHQ1_lb,BHQ1_ub,BHQ2_randomtiebreak,BHQ2_lb,BHQ2_ub,BHQ3_randomtiebreak,BHQ3_lb,BHQ3_ub,BHQ4_randomtiebreak,BHQ4_lb,BHQ4_ub,Q4BH_randomtiebreak,Q4BH_lb,Q4BH_ub,Q4child_randomtiebreak,tm11,tm12,tm13,tm14,tm15,tm21,tm22,tm23,tm24,tm25,tm31,tm32,tm33,tm34,tm35,tm41,tm42,tm43,tm44,tm45,tm51,tm52,tm53,tm54,tm55
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,dad,daughter,818,.72250319,.13534245,.078432865,.03546847,.02825301,.61049366,.24900401,.073881112,.023478253,.043142982,2.8778863,4.4068141,4.4531312,4.3156672,.44159138,.24196835,.44001511,1.6806489,.24340287,.24417368,.25105238,.2446866,.15637088,0,.57972246,.023255996,.56182694,.027643681,35.104462,27.933077,32.032436,.39653638,.37843195,.42147142,.45462921,.28614154,.78226358,.33034351,.044080894,.65594286,.18018208,.029140323,.28414983,.034845185,0,.047084559,.21213752,.17842048,.25924298,.13396709,.75582635,.19409086,.02871595,.0087960344,.012570824,.3081252,.44082242,.16921701,.0071585104,.074676849,.19323382,.36978793,.19229165,.1154489,.1292377,.15960455,.33486846,.25124606,.097910061,.15637088,.066806301,.29129452,.2207977,.12835911,.29274237
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,dad,son,573,.67937458,.15011214,.087963194,.033923388,.048626728,.31523174,.24330765,.22169852,.095964737,.12379733,3.4656231,7.6714325,4.7568126,4.8267317,.55171871,.57228875,.7054792,4.5072632,.56902134,.55965614,.76538181,.45244056,.28160119,0,.53716844,.029789725,.54506415,.035817172,53.602238,47.515686,49.785728,.79303968,.75086099,.90372401,.22846512,.18129788,.30256739,.25409418,.1411563,.36071533,.280146,.1782538,.39218783,.23729467,.16408847,.27973297,.053869441,0,.056918919,.42805982,.44034389,.28720573,.15833305,.050347615,.06376972,.050801281,.18381691,.39682919,.22364737,.14490525,.087008692,.15835261,.30219814,.17268984,.27975073,.023401903,.077251963,.35713926,.26060569,.28160119,0,.083172038,.32625085,.085481673,.50509542
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,max,all,1363,.69300157,.14726532,.085923433,.037555337,.03625432,.49740672,.24436492,.12995502,.05307319,.075200163,3.2653081,5.6698079,4.6231527,4.8087883,.39467552,.36276931,.52974665,2.5788238,.36520979,.3565951,.43581542,.36149183,.19318824,0,.55551726,.018746564,.57782316,.023444081,41.999317,35.237164,38.111774,.57703656,.57287985,.57792503,.37768823,.25915408,.57140476,.30139181,.031609226,.57576293,.21266693,.04861429,.3690519,.10825303,.04512069,.14485946,.14276144,.13051087,.14339603,.25034547,.6434049,.22539516,.077738538,.022807507,.030653905,.22834766,.33583689,.24758722,.10064322,.087585002,.14291085,.28404832,.211549,.149547,.21194483,.13405924,.25536621,.29880884,.11857747,.19318824,.01611862,.12996575,.28195798,.14187239,.43008524
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,max,daughter,803,.71119702,.14243035,.081471063,.03738967,.027511904,.61374825,.24563636,.073057242,.02380844,.043749724,3.0244815,4.3866582,4.4658709,4.3243027,.44159138,.23581037,.42334634,1.4816459,.23873137,.24175678,.22794007,.23684789,.15042217,0,.5762201,.02361569,.55795383,.027962258,34.999561,28.555645,31.674942,.40760222,.37871206,.38343257,.45983866,.32298476,.73211581,.32843146,.053869598,.60768855,.17407699,.040071037,.26876166,.037652902,.0065674437,.049089525,.21696413,.22125278,.24142517,.13627179,.7582432,.19139142,.02835355,.0090615386,.012950269,.34308571,.42897421,.15509567,.006897938,.065946467,.20715763,.3840431,.17195137,.11270668,.12414122,.20809092,.32212931,.2799426,.039414998,.15042217,.035050564,.18492678,.22993432,.20810547,.34198284
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,max,son,560,.66501588,.15470178,.092771463,.037810151,.049700726,.31846586,.24240936,.2174675,.098084278,.12357299,3.6357152,7.6433759,4.8359098,4.8515553,.55171871,.56259984,.69355935,4.3057575,.55974185,.54548967,.73017961,.52985024,.25823373,0,.55602986,.029265912,.55782878,.035299741,53.046364,47.498512,49.127121,.79465801,.75970411,.91312283,.23711251,.17599465,.30744898,.25540218,.14225385,.37082535,.27872652,.2038074,.35138938,.2287588,.19890779,.24937262,.047455352,0,.055214901,.42579821,.45451033,.28132701,.15897062,.045417894,.059774157,.065871604,.20394877,.3785609,.23339224,.11822648,.056131773,.14898388,.26503411,.19930774,.3305425,.021459999,.15382221,.32750362,.23898046,.25823373,0,.083172038,.32625085,.085481673,.50509542
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,mom,all,1483,.85683846,.098802291,.027604515,.010401652,.0063530919,.48868978,.24807605,.13398901,.054666292,.074578889,1.513568,5.7465487,3.1349273,4.7991939,.39467552,.46782213,.65526789,4.2618327,.4690195,.45479172,.5596568,.62018609,.2645399,0,.41702515,.021463906,.63841504,.036155719,48.528214,40.040573,43.821407,.47793141,.48093635,.49309546,.29997292,.19730875,.61189926,.27682161,0,.67408711,.24196593,0,.46640208,.18123955,.040941417,.21509229,.22664364,.18966739,.24259137,.25030398,.54520828,.2505095,.11942329,.038332958,.046525996,.18192814,.25841504,.25745186,.12493709,.17726785,.087246284,.17166443,.12090318,.24785544,.37233067,.11066019,.30371881,.24782881,.073252298,.2645399,0,0,.048858277,.29484749,.65629423
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,mom,daughter,860,.86765242,.097050838,.018192271,.0086460998,.0084583722,.6035037,.24902144,.080582693,.022461059,.044431075,1.3842421,4.4834847,2.962466,4.3398104,.44159138,.3402791,.56198716,3.1286759,.34340835,.33870959,.36999014,.32366738,.19923615,0,.42818916,.027877094,.62726778,.045195248,41.151211,29.410246,36.716633,.31693265,.30634356,.3198809,.377242,.24155806,.74457371,.32205412,.013703508,.70135242,.21328786,0,.35999739,.087416016,.0060824403,.10277268,.31942904,.2734437,.36789945,.13843714,.66129041,.2360827,.062826194,.015882198,.023918491,.2524215,.37758836,.19679531,.032752454,.14044237,.18201746,.32013369,.17418148,.19624957,.1274178,.22258179,.19829729,.37988475,0,.19923615,0,0,.061355378,.22840708,.71023756
Togo,TGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Low income,Low income,Yes,QUIBB,2015,Retrospective question,1980,mom,son,623,.84074438,.10140892,.041612443,.013014382,.0032198734,.31781599,.24666905,.21347183,.10259627,.11944687,1.7060395,7.6263247,3.3686423,4.8377833,.55171871,.65664256,.7940945,5.9394093,.65596241,.63308215,.82980055,.8131147,.32910764,0,.41873115,.03308627,.60134929,.052334044,59.208035,51.753365,58.35751,.69354635,.72108269,.72649115,.18043034,.1314033,.37863895,.20729689,0,.5877735,.28623837,.0018113704,.59784329,.3260344,.092700087,.3820276,.10232244,.073698536,.085226461,.41679171,.36691785,.27266759,.20635068,.072815053,.081248835,.081523888,.088675551,.34384549,.2562364,.22971867,.025583852,.075063571,.0862379,.28143254,.53168213,0,.40795213,.11726122,.145679,.32910764,0,0,0,.55460072,.44539928
Thailand,THA,East Asia & Pacific,East Asia & Pacific,Developing economies,Middle income,Upper middle income,No,SES,2012,Co-residents only,1980,avg,all,2603,.40593132,.29487535,.11996993,.088829592,.090393789,.01632382,.1028907,.23444819,.29235879,.35397851,6.5565014,11.907003,3.9754288,3.5264206,,.88522708,.87383389,5.9428425,.88945842,.96723908,.88316637,.77848041,.66145968,0,.43860006,.015835337,.38906202,.015630979,39.022659,40.696781,40.757034,.46897396,.47513369,.47919622,.35317841,.33659121,.38681644,.28832167,.23597044,.33685407,.20337498,.1625746,.2306055,.15512492,.14660762,.1639801,.19809696,.18676504,.19149773,.25039002,.032760922,.15341648,.32038069,.30029574,.19314615,.006312327,.11052131,.26120183,.3448886,.27707595,.009700642,.037742876,.17407607,.35450721,.4239732,0,.039357562,.070021473,.22916128,.66145968,0,0,.0029845031,.064978808,.9320367
Thailand,THA,East Asia & Pacific,East Asia & Pacific,Developing economies,Middle income,Upper middle income,No,SES,2012,Co-residents only,1980,avg,daughter,1098,.39025643,.28895438,.11406659,.10200782,.10471477,.016862106,.063410081,.16959624,.27221221,.47791937,6.799994,12.74313,4.1707015,3.4502552,,.92531753,.87944454,6.6840177,.92890084,.96836233,.93503255,.84367085,.82441807,0,.42826328,.024663843,.35428515,.022580784,45.410503,46.997036,47.165474,.57598382,.57144696,.61660784,.26989037,.23317273,.30746353,.285319,.19870643,.36346635,.22882664,.14808877,.30467868,.21596402,.18915135,.25527212,.13508807,.064906612,.15526995,.34591624,.031637665,.10371363,.26071841,.31030047,.29362985,.0073967809,.057570651,.17793478,.35127911,.40581867,.020847224,.019112688,.11636925,.30459496,.53907585,0,.040386669,.027860798,.10733446,.82441807,0,0,.0030397407,.037423,.95953727
