n,year,coef,se,lb,ub
86083,1989,0.077811380734623,0.0836398909479182,-0.0861220990273281,0.241744860496574
86083,1990,0.0841040062298266,0.0836660310108386,-0.0798807078346466,0.2480887202943
86083,1991,0.0695076381506689,0.0847040643567132,-0.0965116125035772,0.235526888804915
86083,1992,0.0139596933682492,0.08400843205142,-0.150696123843544,0.178615510580042
86083,1993,0.0357115902618459,0.085224862352463,-0.131328420064953,0.202751600588644
86083,1994,0.00700941361667842,0.0830553974852421,-0.155778463895573,0.16979729112893
86083,1995,-0.00319026722891668,0.0818411855323181,-0.163598299569737,0.157217765111904
86083,1997,-0.148680736880256,0.0830424808607787,-0.311443297917663,0.0140818241571524
86083,1998,-0.101860721949229,0.0826222440394199,-0.263799622366463,0.0600781784680048
86083,1999,-0.0833642261498044,0.0836509267926675,-0.247319336074246,0.080590883774637
86083,2000,-0.16828603182877,0.0836050250851889,-0.332151174794279,-0.00442088886326047
86083,2001,-0.135341041782033,0.0853003405435737,-0.302528988725853,0.0318469051617875
86083,2002,-0.196076870005234,0.0860806067021497,-0.36479413202905,-0.0273596079814178
86083,2003,-0.178690022531531,0.0873676619947461,-0.349929902057237,-0.00745014300582472
86083,2004,-0.217555408973026,0.0874810702620841,-0.389017567744769,-0.0460932502012837
86083,1996,0,0,0,0
