n,year,coef,se,lb,ub
71338,1987,0.0201747638670191,0.0196015124024158,-0.01824414668878,0.0585936744228182
71338,1988,-0.00556075976130554,0.0190679089379509,-0.0429338089900463,0.0318122894674352
71338,1989,-0.0301805718901035,0.0185650053274249,-0.0665679314213184,0.00620678764111133
71338,1990,0.00685044073004856,0.018630109130224,-0.0296645220761192,0.0433654035362163
71338,1991,-0.0356909233872188,0.018926782498114,-0.0727873651808881,0.00140551840645047
71338,1992,-0.0152747542870505,0.019175024397373,-0.0528577495225173,0.0223082409484164
71338,1993,-0.00687326300118585,0.0197727945573161,-0.0456278861108848,0.0318813601085131
71338,1994,-0.00735373375739515,0.0194772967654648,-0.045529182005405,0.0308217144906147
71338,1995,-0.0203164775349049,0.0198739397740498,-0.059269344992033,0.0186363899222232
71338,1997,0.0564316713876212,0.0214565060136242,0.014376978440775,0.0984863643344673
71338,1998,0.0967339281741151,0.0214959840230026,0.0546018584371473,0.138865997911083
71338,1999,0.102529316435617,0.0222515546531308,0.0589163303355883,0.146142302535646
71338,2000,0.118244297472197,0.0224550874621852,0.0742323876245663,0.162256207319827
71338,2001,0.157578613545983,0.0230110752555461,0.112476969148042,0.202680257943924
71338,2002,0.10269597563134,0.0234893376514247,0.0566569382490091,0.148735013013671
71338,2003,0.079019332186202,0.0236912195279979,0.0325846068794052,0.125454057492999
71338,2004,0.142211649438772,0.0235342761067133,0.0960845328073092,0.188338766070235
71338,2005,0.187456163361435,0.0238113310321403,0.140786019835899,0.234126306886971
71338,2006,0.128750937310007,0.0231893395673979,0.0832998953496883,0.174201979270326
71338,1996,0,0,0,0
