n,year18,group,shape,order_shape,status,multiaes,order_multiaes,groupvar,y,se,ymin,ymax
2446,1994,7,Male - Arrived by age 6,6,difference,Individual control groups,1,7 difference,0.00907436393398908,,,
2592,1998,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.573879710115003,,,
2592,1998,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,-0.0121453329883805,,,
2597,1992,1,"",8,treated,Male - EU (treated),4,1 treated,0.894926644412462,,,
2597,1992,1,"",8,synthetic control,Synthetic control,2,1 synthetic control,0.727500505387817,,,
2597,1992,1,"",8,counterfactual,Counterfactual,3,1 counterfactual,0.911586129788283,,,
2597,1992,1,"",8,difference,Male - EU (treated),4,1 difference,-0.0166594853758213,0.0088857744651899,-0.0340756033275935,0.000756632575950912
2737,1997,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.586043992160042,,,
2737,1997,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,-0.0178748869467713,,,
2740,1996,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.590453966458592,,,
2740,1996,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,-0.0173678266908065,,,
2828,1995,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.615927059296101,,,
2828,1995,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,-0.00272523499529664,,,
2884,1993,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.625209582440611,,,
2884,1993,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,0.00551752789633242,,,
2886,1992,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.63819059037239,,,
2886,1992,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,0.00276382681997989,,,
2966,1994,8,Female - Arrived by age 6,7,treated,Individual control groups,1,8 treated,0.607160946889145,,,
2966,1994,8,Female - Arrived by age 6,7,difference,Individual control groups,1,8 difference,0.00232460816560476,,,
